City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Busselton,AU,2021-09-15 16:29:01,-33.65,115.3333,51.08,77,99,20.83,overcast clouds,0,0
1,Westport,US,2021-09-15 16:29:01,41.1415,-73.3579,85.15,80,1,3.0,clear sky,0,0
2,Severo-Kurilsk,RU,2021-09-15 16:27:09,50.6789,156.125,48.16,89,14,8.3,few clouds,0,0
3,Tiksi,RU,2021-09-15 16:29:02,71.6872,128.8694,39.16,93,100,7.83,overcast clouds,0,0
4,Kununurra,AU,2021-09-15 16:29:02,-15.7667,128.7333,75.18,64,87,4.61,overcast clouds,0,0
5,Rovaniemi,FI,2021-09-15 16:27:45,66.5,25.7167,42.21,81,75,3.44,broken clouds,0,0
6,Mar Del Plata,AR,2021-09-15 16:24:06,-38.0023,-57.5575,64.42,39,0,20.71,clear sky,0,0
7,Provideniya,RU,2021-09-15 16:25:06,64.3833,-173.3,38.41,93,100,7.45,overcast clouds,0,0
8,Naze,JP,2021-09-15 16:29:03,28.3667,129.4833,79.07,84,100,15.05,overcast clouds,0,0
9,Sharjah,AE,2021-09-15 16:24:14,25.3573,55.4033,94.98,62,0,3.44,clear sky,0,0
10,Hermanus,ZA,2021-09-15 16:29:04,-34.4187,19.2345,58.89,69,24,6.69,few clouds,0,0
11,Belaya Gora,RU,2021-09-15 16:29:04,68.5333,146.4167,35.76,89,92,6.35,overcast clouds,0,0
12,Vila Franca Do Campo,PT,2021-09-15 16:29:05,37.7167,-25.4333,75.61,62,16,2.01,few clouds,0,0
13,Rikitea,PF,2021-09-15 16:29:05,-23.1203,-134.9692,73.6,72,50,16.35,scattered clouds,0,0
14,Kiunga,PG,2021-09-15 16:29:05,-6.1219,141.2906,72.01,99,82,2.73,broken clouds,0,0
15,Cabuyaro,CO,2021-09-15 16:29:06,4.2817,-72.794,88.48,55,24,4.7,few clouds,0,0
16,Ushuaia,AR,2021-09-15 16:29:06,-54.8,-68.3,29.82,100,90,27.63,light snow,0,0
17,Hasaki,JP,2021-09-15 16:25:30,35.7333,140.8333,68.4,79,8,16.96,clear sky,0,0
18,Portland,US,2021-09-15 16:26:39,45.5234,-122.6762,63.93,58,75,3.0,broken clouds,0,0
19,Hambantota,LK,2021-09-15 16:29:07,6.1241,81.1185,80.73,80,33,16.22,scattered clouds,0,0
20,New Norfolk,AU,2021-09-15 16:29:07,-42.7826,147.0587,39.9,73,96,1.74,overcast clouds,0,0
21,Aswan,EG,2021-09-15 16:29:08,24.0934,32.907,99.7,16,0,11.5,clear sky,0,0
22,Sao Felix Do Xingu,BR,2021-09-15 16:29:08,-6.6447,-51.995,102.92,19,0,4.63,clear sky,0,0
23,Deputatskiy,RU,2021-09-15 16:29:09,69.3,139.9,39.69,80,100,3.67,overcast clouds,0,0
24,Iracoubo,GF,2021-09-15 16:29:09,5.4802,-53.2011,86.56,63,4,8.99,clear sky,0,0
25,Punta Arenas,CL,2021-09-15 16:25:00,-53.15,-70.9167,37.51,75,40,26.46,scattered clouds,0,0
26,Chokurdakh,RU,2021-09-15 16:29:09,70.6333,147.9167,26.6,87,24,3.87,few clouds,0,0
27,Bluff,NZ,2021-09-15 16:29:10,-46.6,168.3333,41.81,77,66,11.59,broken clouds,0,0
28,Bredasdorp,ZA,2021-09-15 16:29:10,-34.5322,20.0403,58.28,70,60,9.15,broken clouds,0,0
29,Juba,SS,2021-09-15 16:25:11,4.8517,31.5825,82.31,54,39,3.13,scattered clouds,0,0
30,Sorland,NO,2021-09-15 16:29:11,67.667,12.6934,50.07,59,92,7.36,overcast clouds,0,0
31,Ribeira Grande,PT,2021-09-15 16:29:11,38.5167,-28.7,73.8,73,20,5.75,few clouds,0,0
32,Camalu,MX,2021-09-15 16:29:11,30.85,-116.0667,72.72,63,0,6.69,clear sky,0,0
33,Vaini,TO,2021-09-15 16:29:12,-21.2,-175.2,73.56,100,20,5.75,few clouds,0,0
34,Teya,RU,2021-09-15 16:29:12,60.3778,92.6267,38.66,95,100,2.82,overcast clouds,0,0
35,Kaitangata,NZ,2021-09-15 16:29:13,-46.2817,169.8464,41.81,87,44,8.14,scattered clouds,0,0
36,Jamestown,US,2021-09-15 16:25:37,42.097,-79.2353,64.02,98,90,1.99,moderate rain,0,0
37,Sao Gabriel Da Cachoeira,BR,2021-09-15 16:29:13,-0.1303,-67.0892,85.8,70,20,4.61,few clouds,0,0
38,Leningradskiy,RU,2021-09-15 16:29:14,69.3833,178.4167,26.73,96,96,1.43,light snow,0,0
39,Mataura,NZ,2021-09-15 16:29:14,-46.1927,168.8643,41.49,95,90,3.29,overcast clouds,0,0
40,Cabo San Lucas,MX,2021-09-15 16:28:45,22.8909,-109.9124,89.62,77,1,1.01,clear sky,0,0
41,San Quintin,MX,2021-09-15 16:29:14,30.4833,-115.95,72.36,69,0,10.27,clear sky,0,0
42,Adrar,MR,2021-09-15 16:29:15,20.5022,-10.0711,107.58,10,9,18.21,clear sky,0,0
43,Tasiilaq,GL,2021-09-15 16:29:15,65.6145,-37.6368,42.96,98,100,10.42,light rain,0,0
44,Srednekolymsk,RU,2021-09-15 16:29:16,67.45,153.6833,40.39,84,98,11.77,overcast clouds,0,0
45,Lasa,IT,2021-09-15 16:29:16,46.6166,10.7002,70.02,87,92,2.68,light rain,0,0
46,Cherskiy,RU,2021-09-15 16:29:16,68.75,161.3,29.77,85,83,15.17,broken clouds,0,0
47,Patharia,IN,2021-09-15 16:29:17,23.9,79.2,75.0,96,98,4.52,overcast clouds,0,0
48,Ponta Do Sol,PT,2021-09-15 16:29:17,32.6667,-17.1,81.12,72,32,3.91,scattered clouds,0,0
49,Avarua,CK,2021-09-15 16:29:17,-21.2078,-159.775,73.45,83,75,8.05,broken clouds,0,0
50,Hithadhoo,MV,2021-09-15 16:25:00,-0.6,73.0833,81.45,75,85,9.62,overcast clouds,0,0
51,Svetlaya,RU,2021-09-15 16:29:18,46.5389,138.3297,53.71,74,2,4.83,clear sky,0,0
52,Cape Town,ZA,2021-09-15 16:27:19,-33.9258,18.4232,60.12,68,20,3.0,few clouds,0,0
53,Herat,AF,2021-09-15 16:29:19,34.5,62.0,82.65,11,0,34.09,clear sky,0,0
54,Saint Anthony,US,2021-09-15 16:29:19,45.0205,-93.218,73.92,52,1,5.01,clear sky,0,0
55,Razgrad,BG,2021-09-15 16:29:19,43.5333,26.5167,74.8,43,75,7.38,broken clouds,0,0
56,Coquimbo,CL,2021-09-15 16:29:20,-29.9533,-71.3436,58.73,67,0,10.36,clear sky,0,0
